"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1107","checkSort","CrossBrowser Test","Mon Jun 16 17:38:55 GMT 2025","passed","Mon Jun 16 17:38:56 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithIncorreсtLogin","CrossBrowser Test","Mon Jun 16 17:38:35 GMT 2025","unknown","Mon Jun 16 17:38:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Mon Jun 16 17:38:35 GMT 2025","unknown","Mon Jun 16 17:38:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","6","checkLoginWithIncorreсtPassword","CrossBrowser Test","Mon Jun 16 17:38:35 GMT 2025","unknown","Mon Jun 16 17:38:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
"","1377","checkSort","CrossBrowser Test","Mon Jun 16 17:38:59 GMT 2025","passed","Mon Jun 16 17:39:00 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkAddTwoProductsToCart","CrossBrowser Test","Mon Jun 16 17:38:35 GMT 2025","unknown","Mon Jun 16 17:38:35 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","1296","checkSort","CrossBrowser Test","Mon Jun 16 17:39:06 GMT 2025","passed","Mon Jun 16 17:39:08 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithEmptyLogin","CrossBrowser Test","Mon Jun 16 17:38:35 GMT 2025","unknown","Mon Jun 16 17:38:35 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","2399","checkEndToEnd","CrossBrowser Test","Mon Jun 16 17:38:50 GMT 2025","passed","Mon Jun 16 17:38:52 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"","1247","checkSort","CrossBrowser Test","Mon Jun 16 17:39:03 GMT 2025","passed","Mon Jun 16 17:39:04 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","582","checkLogin","CrossBrowser Test","Mon Jun 16 17:38:38 GMT 2025","passed","Mon Jun 16 17:38:39 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"Проверка добавления товара в корзину","621","checkAddToCart","CrossBrowser Test","Mon Jun 16 17:38:41 GMT 2025","passed","Mon Jun 16 17:38:42 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
